issue_category,issue_type,severity,issue_count,affected_deliverables,affected_projects,affected_disciplines,severity_weight,priority_score,recommended_action
Delay,Overdue Approval,Medium,4654,4654,18,6,2,9308,Review business rule and define corrective action.
Delay,Overdue Submission,Medium,6593,6593,18,6,2,13186,Review business rule and define corrective action.
Duplicate,Duplicate Document ID,High,1600,1600,18,6,3,4800,Standardize document ID naming conventions and validation rules.
Invalid Value,Invalid Equipment Criticality,Medium,562,562,18,6,2,1124,Review business rule and define corrective action.
Invalid Value,Invalid Revision Number,Medium,500,500,18,6,2,1000,Review business rule and define corrective action.
Missing Metadata,Missing Discipline,High,500,500,18,0,3,1500,Define mandatory metadata fields and ownership routines.
Missing Metadata,Missing Document Type,Medium,500,500,18,6,2,1000,Define mandatory metadata fields and ownership routines.
Missing Metadata,Missing Equipment,Medium,1500,1500,18,6,2,3000,Define mandatory metadata fields and ownership routines.
Missing Metadata,Missing Owner,High,1100,1100,18,6,3,3300,Define mandatory metadata fields and ownership routines.
Missing Metadata,Missing Project Phase,Medium,3301,3301,3,6,2,6602,Define mandatory metadata fields and ownership routines.
Reference Integrity,Invalid Status,High,300,300,18,6,3,900,Create reference data validation before reporting publication.
Workflow Issue,Approved Deliverable Missing Actual Approval Date,High,463,463,18,6,3,1389,"Improve workflow governance, review SLAs, and approval tracking."
Workflow Issue,Long Review Cycle,Medium,3250,3250,18,6,2,6500,"Improve workflow governance, review SLAs, and approval tracking."
